player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name
Alexander Mattison,3569,1806,101,RB,109,2687.5,2369.73,95,-19.800000000000185,2019,3,102,The Serle Brothers
Isiah Pacheco,3410,1883,106,RB,100,2646.5,2368.08,96,-1.650000000000091,2022,7,251,DirtyDan113
Darren Waller,3302,1817,110,TE,107,2559.5,2288.88,97,-79.19999999999982,2015,6,204,Howling for Chubb
Elijah Moore,3279,1824,112,WR,106,2551.5,2285.9100000000003,98,-2.9699999999998,2021,2,34,The Scene Worships Me
D'Andre Swift,3444,1733,105,RB,115,2588.5,2280.3,99,-5.610000000000127,2020,2,35,Howling for Chubb
Zach Charbonnet,3724,1577,93,RB,120,2650.5,2269.74,100,-10.5600000000004,NA,NA,NA,Howling for Chubb
Alvin Kamara,3073,1842,122,RB,105,2457.5,2229.81,101,-39.92999999999984,2017,3,67,Pablo and the Stallions
Devon Achane,3473,1636,104,RB,119,2554.5,2225.8500000000004,102,-3.9599999999995816,NA,NA,NA,HorseWomen of Color
Pat Freiermuth,3532,1550,102,TE,123,2541,2188.56,103,-37.29000000000042,2021,2,55,The Millennium Beer
Mac Jones,3112,1654,120,QB,117,2383,2118.6000000000004,104,-69.95999999999958,2021,1,15,A Team of Chance
Sam Howell,3061,1649,123,QB,118,2355,2098.4700000000003,105,-20.13000000000011,2022,5,144,Howling for Chubb
Mike Evans,3263,1520,113,WR,126,2391.5,2079.99,106,-18.480000000000473,2014,1,7,HorseWomen of Color
Sam LaPorta,3323,1482,109,TE,133,2402.5,2074.71,107,-5.279999999999745,NA,NA,NA,Howling for Chubb
AJ Dillon,3009,1562,130,RB,122,2285.5,2023.89,108,-50.819999999999936,2020,2,62,The Millennium Beer
DeAndre Hopkins,3091,1509,121,WR,129,2300,2015.9700000000005,109,-7.919999999999845,2013,1,27,DirtyDan113
David Montgomery,3145,1467,119,RB,136,2306,2006.07,110,-9.900000000000093,2019,3,73,Kissy Boy Jones
Kendre Miller,3045,1514,124,RB,127,2279.5,2004.09,111,-1.9800000000000184,NA,NA,NA,Pablo and the Stallions
